,Id,Prediction
0,0,5958099.4
1,1,5375335.74
2,2,5687648.8
3,3,5223703.986666666
4,4,5471523.913333333
5,5,5471523.913333333
6,6,5573449.1466666665
7,7,5337806.906666666
8,8,5974054.933333334
9,9,5016635.78
10,10,5282334.766666667
11,11,5523748.913333333
12,12,5386449.446666666
13,13,5670773.38
14,14,5370148.326666667
15,15,5395652.013333334
16,16,5601226.133333334
17,17,5379262.54
18,18,5538270.36
19,19,4531902.653333333
20,20,5664987.12
21,21,5373776.033333333
22,22,4637756.02
23,23,5687648.8
24,24,5215776.42
25,25,5471523.913333333
26,26,5471523.913333333
27,27,5800001.92
28,28,5687648.8
29,29,6044615.14
30,30,5306230.113333333
31,31,5471523.913333333
32,32,5687648.8
33,33,4932442.1
34,34,5304075.033333333
36,36,5471523.913333333
37,37,5514952.46
38,38,5471523.913333333
39,39,5471523.913333333
40,40,4911579.533333333
41,41,4736050.786666667
42,42,5285865.68
44,44,5921738.806666667
45,45,5687648.8
46,46,5801685.073333333
47,47,5471523.913333333
48,48,4770018.76
49,49,5092507.3133333335
50,50,4807153.793333333
51,51,5333986.66
52,52,5471523.913333333
53,53,5318432.9
54,54,5471523.913333333
55,55,5068500.98
56,56,5634903.62
57,57,5471523.913333333
58,58,5471523.913333333
59,59,5320164.173333333
60,60,5499983.593333334
61,61,5593947.433333334
62,62,5036787.566666666
63,63,5344787.06
64,64,5382700.42
66,66,5417429.546666667
67,67,5061140.2
68,68,5387049.52
69,69,5203339.3533333335
70,70,5325641.793333333
71,71,5474258.133333334
72,72,5272841.413333333
73,73,5471523.913333333
74,74,5453202.746666667
75,75,4637756.02
76,76,5357286.013333334
77,77,4686152.773333333
78,78,5132688.866666666
79,79,5375335.74
80,80,5687648.8
81,81,5471523.913333333
82,82,4637756.02
83,83,5074590.18
84,84,5273478.106666666
85,85,5471523.913333333
86,86,4910911.58
87,87,5331077.173333333
88,88,5648820.64
89,89,5474608.54
90,90,5687648.8
91,91,5194249.873333333
92,92,5494438.1466666665
93,93,4862909.66
94,94,5593947.433333334
95,95,5593947.433333334
96,96,5375335.74
97,97,5471523.913333333
98,98,4576479.673333333
99,99,5297613.473333334
100,100,5687648.8
101,101,5471523.913333333
102,102,5519955.226666667
103,103,5919362.04
104,104,5687648.8
105,105,4685948.413333333
106,106,5537431.953333333
107,107,5687648.8
108,108,5687648.8
109,109,5687648.8
110,110,5283928.1
111,111,6080089.213333333
112,112,4794721.46
113,113,5083965.953333333
114,114,5104188.62
115,115,5099327.453333333
116,116,5322633.633333334
117,117,5687142.38
118,118,5304073.493333333
119,119,5461079.066666666
120,120,4588349.34
121,121,4706018.8533333335
122,122,5796377.706666667
123,123,4637756.02
124,124,5471523.913333333
125,125,4773342.64
126,126,4637756.02
127,127,5437457.606666666
128,128,5352152.286666667
129,129,4576479.673333333
130,130,5487766.066666666
131,131,5630928.873333333
132,132,5612286.4
133,133,4576479.673333333
134,134,4576479.673333333
135,135,5192650.513333334
136,136,4660724.74
137,137,4710520.746666667
138,138,4637756.02
139,139,5375335.74
140,140,5687648.8
141,141,5593947.433333334
142,142,5903548.28
143,143,5183499.033333333
145,145,4699108.76
146,146,5471523.913333333
147,147,4603163.38
148,148,5511447.233333333
149,149,4618021.34
150,150,6157480.213333333
151,151,5687648.8
152,152,4733733.833333333
153,153,5687648.8
154,154,5471523.913333333
155,155,5687648.8
156,156,5687648.8
157,157,4691321.72
158,158,5058511.1466666665
159,159,5375335.74
160,160,5375335.74
161,161,4917799.76
162,162,6279982.4
163,163,5167627.473333334
164,164,5687648.8
165,165,5666028.053333334
166,166,5601094.886666667
167,167,5687648.8
168,168,5416077.393333334
169,169,4576479.673333333
170,170,5471523.913333333
171,171,5471523.913333333
172,172,5322920.766666667
174,174,5426073.706666667
175,175,5471523.913333333
176,176,5687648.8
177,177,5354946.166666667
178,178,5564633.46
179,179,5294661.12
180,180,4637756.02
181,181,5654138.4
182,182,5687648.8
183,183,4637756.02
184,184,5140023.48
185,185,5471523.913333333
186,186,5528784.713333333
187,187,4657166.42
188,188,5687648.8
189,189,5648617.6466666665
190,190,5494008.88
191,191,4996245.42
192,192,5340628.726666667
193,193,5167627.473333334
194,194,5375335.74
195,195,5167627.473333334
196,196,5459368.286666667
197,197,5471523.913333333
198,198,5471523.913333333
199,199,5488106.16
200,200,4637756.02
201,201,5375335.74
202,202,5424441.213333333
203,203,4637756.02
204,204,5687648.8
205,205,5687648.8
206,206,5434930.22
207,207,4576479.673333333
208,208,5121385.366666666
209,209,5471523.913333333
210,210,4637756.02
211,211,5471523.913333333
212,212,5653582.493333333
213,213,5245143.746666667
214,214,5687648.8
215,215,5471523.913333333
216,216,4718644.606666666
217,217,5158229.74
218,218,5424534.586666667
219,219,5687648.8
220,220,5687648.8
221,221,4710520.746666667
222,222,5428353.526666666
223,223,5330070.28
224,224,5471523.913333333
225,225,4681753.8533333335
226,226,5687648.8
227,227,5687648.8
228,228,5412052.6
229,229,4937291.133333334
230,230,5593947.433333334
231,231,6164362.233333333
232,232,6104453.553333334
233,233,5451167.493333333
234,234,5653582.493333333
235,235,4917279.88
236,236,4801762.3133333335
237,237,5471523.913333333
238,238,5634882.46
239,239,5498453.84
240,240,4776594.193333333
241,241,5683061.273333333
242,242,5249839.553333334
243,243,5327356.22
244,244,5211869.88
245,245,5669605.446666666
246,246,5091107.306666667
247,247,5375335.74
248,248,5593947.433333334
249,249,5687648.8
250,250,5421075.246666667
251,251,5277901.573333333
252,252,5687648.8
253,253,5440480.666666667
254,254,5419767.173333333
255,255,5347533.76
256,256,5471523.913333333
257,257,5687648.8
258,258,5323819.966666667
259,259,6234463.92
260,260,5481529.886666667
261,261,5125870.106666666
262,262,5666661.0
263,263,5471523.913333333
264,264,5471523.913333333
265,265,5687648.8
266,266,4762665.413333333
268,268,5471523.913333333
269,269,5471523.913333333
270,270,4637145.8
271,271,5687648.8
272,272,4787358.946666666
273,273,4637756.02
274,274,5471523.913333333
275,275,4637756.02
277,277,5471523.913333333
278,278,5424547.046666667
279,279,5018213.18
280,280,5471523.913333333
281,281,5687648.8
282,282,4817744.42
283,283,5025676.86
284,284,5471523.913333333
285,285,5448867.073333333
286,286,5471523.913333333
287,287,4637756.02
288,288,5201964.773333333
289,289,4483258.18
290,290,5471523.913333333
291,291,4969037.733333333
292,292,5375335.74
293,293,4978909.86
294,294,5687648.8
295,295,5381796.04
296,296,5593947.433333334
297,297,5499983.593333334
298,298,5317059.34
299,299,5769088.12
300,300,4751797.806666667
301,301,5063497.32
302,302,5949123.093333334
303,303,5687648.8
304,304,5683724.166666667
305,305,4637756.02
306,306,5375335.74
307,307,5559881.126666667
308,308,5471523.913333333
309,309,5687648.8
310,310,5513114.046666667
311,311,5509915.8533333335
312,312,5421056.42
313,313,5284504.993333333
314,314,5399811.593333334
315,315,5387641.873333333
316,316,5060745.006666667
317,317,5115867.346666667
318,318,5581101.713333333
319,319,5687648.8
320,320,5397780.326666667
321,321,5437457.606666666
322,322,5765284.58
323,323,5352800.673333333
324,324,5248519.22
325,325,5687648.8
326,326,4637756.02
327,327,5332404.306666667
328,328,5513266.08
329,329,4637756.02
330,330,5319197.113333333
331,331,4642181.08
332,332,5384523.873333333
333,333,5340681.473333334
334,334,5105037.793333333
335,335,4970044.1866666665
336,336,5471523.913333333
337,337,5316349.126666667
338,338,5687648.8
339,339,5209944.7
